,Below Basic,Basic,Intermediate,Advanced
10,"A 26-year-old man sees the doctor because he's been urinating more often for 1 week and is very thirsty. He says he goes to the bathroom every hour. The doctor checks him and everything seems normal. His blood tests are normal too, but his urine test shows it is 50 mOsmol/kg H2O. After he gets ADH (vasopressin), his urine test is normal. Which body part is likely causing his problems?","A 26-year-old man visits the office due to 1 week of urinating more often and having a lot of thirst. He reports urinating every hour. The physical exam reveals no problems, and his blood test results are normal. But his urine has an osmolality of 50 mOsmol/kg H2O. After he receives ADH (vasopressin), his urine osmolality becomes normal. Which structure is most likely causing this patient's symptoms?","A 26-year-old man visits the doctor after experiencing increased urinary frequency and excessive thirst for 1 week. He reports urinating every hour. Physical examination and serum chemistry studies reveal no abnormalities and are within reference ranges, respectively. His urine osmolality is 50 mOsmol/kg H2O. After administering ADH (vasopressin), urine osmolality normalizes. What structure is most likely implicated in causing these symptoms?","A 26-year-old man presents with a 1-week history of increased urinary frequency and excessive thirst, mentioning hourly urination. Physical exam shows no abnormalities, and serum chemistry results are within normal limits. Urine osmolality is 50 mOsmol/kg H2O. Post ADH (vasopressin) administration, urine osmolality normalizes. Which anatomical structure is most likely responsible for these symptoms?",
11,"A 52-year-old woman has had off-and-on headaches for 6 months. Lying down in a quiet room sometimes makes the pain better. Her temperature is 37.5°C (99.5°F), pulse is 86/min, breathing rate is 16 breaths per minute, and blood pressure is 154/100 mm Hg. Her lungs sound clear. The heart exam shows the point of maximal impulse is moved to the left and sometimes skips beats; there are no murmurs or rubs. There is no S3 sound. Resting ECG shows left axis deviation with R waves over 30 mm in leads V5 to V6. Which process explains the left ventricular changes in this patient?","A 52-year-old woman visits the doctor because of headaches over the past 6 months, happening off and on. Sometimes, lying down in a quiet room helps relieve the pain. Her body temperature is 37.5°C (99.5°F), with a pulse rate of 86 beats per minute, 16 breaths per minute, and blood pressure reading of 154/100 mm Hg. Her lungs are clear. On the heart exam, the point of maximal impulse has shifted to the left and there are some skipped beats; no murmurs or rubs are heard. There is also no S3 heart sound. An ECG at rest shows left axis deviation and R waves greater than 30 mm in leads V5 through V6. Which process best explains the development of the left ventricular abnormalities in this patient?","A 52-year-old woman reports to the office due to a 6-month history of having intermittent headaches. The headache's pain sometimes decreases when she lies down quietly. Her vital signs include a temperature of 37.5°C (99.5°F), pulse rate of 86 beats per minute, respirations at 16 per minute, and a blood pressure of 154/100 mm Hg. Her lung sounds are clear. The cardiac examination reveals that the point of maximal impulse is shifted to the left with occasional skipped heartbeats, but there are no murmurs or rubs. There is no S3 sound. A resting electrocardiography indicates left axis deviation with R waves exceeding 30 mm in leads V5 through V6. Which of the following processes best describes the cause of the left ventricular abnormalities seen in this patient?","A 52-year-old woman presents with a 6-month history of intermittent headaches, for which the pain sometimes subsides when lying down in a quiet room. Her recorded temperature is 37.5°C (99.5°F), pulse is 86 beats per minute, she has 16 respirations per minute, and her blood pressure is 154/100 mm Hg. On examination, her lungs are clear, and the cardiac assessment reveals no murmurs or rubs, while the point of maximal impulse is shifted to the left with occasional skipped beats; notably, there is no S3 sound. Resting electrocardiography demonstrates left axis deviation and R waves greater than 30 mm in leads V5 through V6. What underlying process is most likely to explain the development of left ventricular abnormalities in this patient?",
12,"A 53-year-old man visits the doctor because he has had a dry scaly rash on his body for the last year. In this time, he has lost 15 kg (33 lb). He is 178 cm (5 ft 10 in) tall and now weighs 54 kg (120 lb), with a BMI of 17 kg/m2. His stools are large and float. What nutrient deficiency is he likely suffering from?","A 53-year-old man goes to the doctor because he has had a dry, scaly rash on his body for the past year. Over this year, he lost 15 kg (33 lb). He is 178 cm (5 ft 10 in) tall and weighs 54 kg (120 lb), with a BMI of 17 kg/m2. His stools are large in volume and float. Which nutrient deficiency is most likely?","A 53-year-old man presents at the physician's office, having experienced a dry scaly rash on his body for the last year. During this period, he has experienced a 15 kg (33 lb) weight loss. His height is 178 cm (5 ft 10 in) and his current weight is 54 kg (120 lb), resulting in a BMI of 17 kg/m2. His stools have a large volume and they float. Which nutrient deficiency is most probable in his case?","A 53-year-old man presents to the physician complaining of a persistent dry scaly rash on his body for the past year. He has concurrently experienced a weight loss of 15 kg (33 lb). Standing at 178 cm (5 ft 10 in), he now weighs 54 kg (120 lb), giving him a BMI of 17 kg/m2. His stools are notably large in volume and float. Which of the following nutrient deficiencies is most likely implicated?",
13,"Blood samples from 25 healthy people are tested to find serum LDL-cholesterol levels. The results make a normal curve. For these people, the average is 130 mg/dL and the standard difference is 25 mg/dL. The mean's standard error is 5.0. With 95% certainty, what range (in mg/dL) does the true average for the whole group lie?","In blood tests of 25 healthy volunteers, serum LDL-cholesterol levels are measured, showing a normal distribution. The average level is 130 mg/dL, with a standard variation of 25 mg/dL. The mean's standard error is 5.0. With a 95% confidence interval, what is the range (in mg/dL) within which the true average for the entire population falls?","Serum LDL-cholesterol levels are measured from blood samples of 25 healthy volunteers, adhering to a normal distribution. The calculated mean and standard deviation for these samples are 130 mg/dL and 25 mg/dL, respectively. The standard error of the mean is determined to be 5.0. With a confidence level of 95%, identify the range (in mg/dL) where the true mean of the population from which this sample derives resides.","Blood samples collected from 25 healthy volunteers were analyzed for serum LDL-cholesterol concentrations, showing a normal distribution. The group’s mean concentration is 130 mg/dL, with a standard deviation of 25 mg/dL. The computed standard error of the mean is 5.0. With a 95% confidence level, within what range (in mg/dL) does the true population mean, from which this sample is drawn, fall?",
14,"A 39-year-old man visits the doctor because he has had more difficulty breathing over the last 6 months. He also has a cough with white mucus for 2 years. He used to smoke 1 pack of cigarettes every day for 16 years but stopped 10 years ago. He is a bit short of breath and is breathing with pursed lips and an expanded chest, using extra muscles to breathe. His breath sounds are distant, and there are crackles in the lower lung fields on both sides. His lung tests show a lower FEV1:FVC ratio, more air left in the lungs after breathing out, and poor lung function. An X-ray shows his lower lung lobes are bigger and clearer than usual. What is the most likely diagnosis?","A 39-year-old man goes to the doctor after having trouble breathing for 6 months. He has had a cough with white sputum for 2 years. He smoked 1 pack of cigarettes every day for 16 years but quit 10 years ago. He is experiencing mild breathing distress, breathing through pursed lips, and has a barrel chest, using his accessory muscles to breathe. Breath sounds are distant, and there are crackles in the lower lung fields on both sides. His lung function tests show a reduced FEV1:FVC ratio, increased residual volume, and a decreased diffusion capacity. A chest X-ray shows hyperinflation and hypertranslucency of the lower lobes in both lungs. What is the most likely diagnosis?","A 39-year-old man comes to see the doctor because he has been experiencing progressive shortness of breath for 6 months. He also has had a cough producing white sputum for 2 years. He smoked 1 pack of cigarettes per day for 16 years but quit 10 years ago. Currently, he is in mild respiratory distress, breathing with pursed lips and a barrel chest, and using accessory muscles for breathing. Breath sounds are distant with crackles in the lower lung fields bilaterally. Pulmonary function tests indicate a decreased FEV1:FVC ratio, increased residual volume, and decreased diffusion capacity. A chest x-ray shows hyperinflation and hypertranslucency of the lower lobes in both lungs. Which diagnosis is most likely?","A 39-year-old man presents to the physician with a 6-month history of progressive shortness of breath. He reports a cough that produces white sputum, persisting for the past 2 years. His smoking history includes 1 pack of cigarettes daily for 16 years, though he quit 10 years ago. He displays mild respiratory distress, with pursed lips, a barrel chest, and reliance on accessory muscles for respiration. Examination reveals distant breath sounds and bilateral crackles in the lower lung fields. Pulmonary function tests show decreased FEV1:FVC ratio, increased residual volume, and impaired diffusion capacity. Chest radiography reveals hyperinflation and hypertranslucency of the lower lobes in both lungs. What is the most likely diagnosis?",
15,Researchers are doing a study on finasteride and prostate cancer in 500 patients. They add 1000 more patients to the study. What will this change do to the study?,Investigators are studying the impact of finasteride on prostate cancer in 500 patients. They then recruit 1000 more patients. How will this affect the study's outcomes?,"In a research study with 500 patients, investigators assess finasteride's effect on prostate cancer incidence. By adding 1000 more patients, what impact does this change have on the study?",Investigators conducting a study on the effects of finasteride on prostate cancer in 500 patients decide to include an additional 1000 participants. What is the anticipated effect of this change on the research study?,
16,"A 54-year-old woman sees the doctor because she wants to lose weight. She tried many diets before but with little success. Her parents both have type 2 diabetes. She is 160 cm tall and weighs 69 kg; her BMI is 27 kg/m2. Her blood pressure is 140/90 mm Hg, and her fasting serum glucose concentration is 102 mg/dL. Which serum abnormality might this patient have compared to a same-age woman with normal weight?","The 54-year-old woman visits a doctor wanting to lose weight. She's tried several diets before but hasn't had much success. Her parents both have type 2 diabetes. She is 160 cm tall, weighs 69 kg, and has a BMI of 27 kg/m2. Her blood pressure is 140/90 mm Hg, and her fasting serum glucose is 102 mg/dL. What serum abnormality might she have compared to a normal weight woman of the same age?","A 54-year-old woman comes to the physician to discuss losing weight. She has attempted multiple diets previously with limited success. Both of her parents have type 2 diabetes mellitus. She stands 160 cm tall, weighs 69 kg, and has a BMI of 27 kg/m2. Her blood pressure is noted at 140/90 mm Hg, and her fasting serum glucose concentration is 102 mg/dL. Compared to a woman of the same age with normal weight, which serum abnormality is more likely in this patient?","A 54-year-old woman consults her physician with the aim of losing weight. She reports numerous prior attempts at dieting with only limited success, and notes that both her parents were diagnosed with type 2 diabetes mellitus. Her measurements indicate she is 160 cm tall and weighs 69 kg, yielding a BMI of 27 kg/m2. Her blood pressure is recorded at 140/90 mm Hg, and fasting serum glucose is 102 mg/dL. Compared to a woman her age with a normal weight, what serum abnormality is this patient most likely to exhibit?",
17,"A 33-year-old woman is taken to the emergency room by Secret Service because she's been stalking the president of the USA for 2 months. She believes she is married to the president's twin brother and thinks the president kidnapped his twin. She talks very fast and is hard to stop. Her thoughts don't always connect well. She says, ""I haven't slept for days and won't sleep until my husband is safe. God wants me to take over the White House. I can't wait to be with my husband again. I hear his voice telling me what to do."" When asked about drugs, she says no drugs, just natural things. She doesn't want blood or urine tests, saying, ""I don't have time to wait for the results."" What is the most likely diagnosis?","A 33-year-old woman is brought to the emergency department by the Secret Service for stalking the president of the USA for 2 months. She claims she is married to the president's twin brother and believes the president kidnapped his twin to remove competition. She talks rapidly and is hard to interrupt. Her associations are often loose. She says, ""I haven't slept for days and won't try to sleep until my husband is rescued. God tells me to take over the White House. I can't wait to be with my husband. I hear his voice guiding me."" When asked about drug use, she reports only using natural substances. She refuses blood or urine tests, saying, ""I don't have time to wait for the results."" Which diagnosis is most likely?","A 33-year-old woman is brought to the emergency department by the Secret Service after stalking the president of the USA for the past 2 months. She insists she is married to the president's twin brother and believes the president orchestrated the kidnapping of his twin to avoid rivalry. She speaks rapidly and is difficult to interrupt, with loose associations in her speech. She declares, ""I haven't slept for days, and I won't attempt to sleep until my husband is safe. God has directed me to take over the White House. I'm anticipating being with my husband again. I hear his voice instructing me."" When questioned about drug use, she asserts she uses only natural substances. She denies blood or urine tests, saying, ""I don't have time to wait for the results."" Which diagnosis is most likely?","The Secret Service has brought a 33-year-old woman to the emergency department due to her 2-month pursuit of the president of the USA. She asserts she is married to the president's twin brother and accuses the president of kidnapping his twin to eliminate competition. She speaks in a rapid, uninterrupted flow, displaying loose associations. She states, ""I haven't slept for days and won't consider sleep until my husband's safety is secured. God has instructed me to take over the White House, and I can't wait for our reunion. His voice guides my actions."" Upon inquiry about substance use, she claims to use only natural products and denies blood or urine tests, saying, ""I don't have time to wait for the results."" What is the most probable diagnosis?",
18,"When a doctor tells parents their baby has Down syndrome, they should first give a small amount of information right away. More details can be talked about later. Why use this approach?","When a doctor tells a couple their newborn has Down syndrome, they give some information right away and save the rest for later. What is the reason for doing it this way?","When informing parents that their newborn has Down syndrome, a doctor gives a specific, limited amount of information at first, and the rest can be discussed later. What is the purpose of this approach?","In informing a couple that their newborn has Down syndrome, a consulting physician should provide a specific, relatively limited amount of information immediately, with more details to follow later. What best explains the purpose of this disclosure approach?",
19,"A 62-year-old man visits the doctor because he has trouble starting to urinate and dribbling after for 6 months. He urinates 2 to 3 times each night. The exam shows an enlarged, firm prostate that doesn't hurt. What might have caused this man's problem?","A 62-year-old man sees a doctor because for 6 months he has trouble urinating and dribbles after urination. He urinates two to three times per night. The doctor finds his prostate is enlarged, firm, and not tender. What could have contributed to his condition?","A 62-year-old man visits his physician with a 6-month history of urinary hesitancy and dribbling after urination. He gets up two to three times at night to urinate. On examination, his prostate is found to be diffusely enlarged, firm, and nontender. Which factor is most likely to have contributed to this condition?","A 62-year-old male presents to his physician with a 6-month history of urinary hesitancy and dribbling post-micturition. He reports nocturia, needing to urinate two to three times nightly. On physical examination, his prostate is diffusely enlarged, firm, and nontender. Which of the following factors likely contributed to this patient's condition?",
20,"A 19-year-old man in the US Army came to the emergency doctor 45 minutes after getting a knife wound on the right side of his chest. He is healthy and takes no medicine. His body temperature is 36.9°C (98.4°F), his pulse is 110/min, his breathing is 24/min, and his blood pressure is 114/76 mm Hg. Oxygen level in his blood is 94%. The trachea moved to the left side. What is most likely found on checking the right side of the chest: Fremitus, Percussion, or Breath Sounds?","A 19-year-old man serving in the US Army arrives at the emergency room 45 minutes after being stabbed in the right chest during a fight. He has no significant illness history and does not take any medications. His temperature is 36.9°C (98.4°F), pulse is 110/min, respirations 24/min, and blood pressure is 114/76 mm Hg. Oxygen saturation is 94%. The trachea appears shifted to the left. What will most likely be found in a pulmonary exam of the right chest: Fremitus, Percussion, or Breath Sounds?","A 19-year-old man, who is in the US Army, arrives at the emergency department 45 minutes after suffering a knife wound to the right side of his chest during an altercation. He has no major medical history and is not on any medications. His temperature measures 36.9°C (98.4°F), pulse rate is 110/min, respiratory rate is 24/min, and his blood pressure is 114/76 mm Hg. Oxygen saturation on pulse oximetry at room air is 94%. Physical examination shows the trachea shifted to the left. In a pulmonary exam, what is most likely to be found for the right chest: Fremitus, Percussion, or Breath Sounds?","A 19-year-old male currently serving in the US Army presents to the emergency department 45 minutes following a knife wound inflicted to the right side of his chest during a conflict. Notably, he has no history of major medical conditions and is not on any medication regime. His vital signs are: temperature at 36.9°C (98.4°F), pulse rate 110/min, respiratory rate 24/min, and blood pressure 114/76 mm Hg. His oxygenation status, as per pulse oximetry on room air, is 94%. The physical examination reveals a tracheal shift to the left. Upon a detailed pulmonary examination of the right thorax, what findings are anticipated among these options: Fremitus, Percussion, or Breath Sounds?",
21,"A 34-year-old man visits the doctor because he has had diarrhea for 1 month. Two years ago, he was treated for pheochromocytoma. His mother is being treated for parathyroid gland tumor. He has no major sickness history and takes no medicines. His temperature is 37.0°C (98.6°F), pulse is 84/min, breathing is 10/min, and blood pressure is 120/75 mm Hg. Oxygen level is 97% on room air. His vital signs are normal. The doctor finds a 3-cm mass on the right side of his neck. A biopsy shows a neuroendocrine growth from parafollicular cells. What kind of gene mutation is likely causing these findings?","A 34-year-old man comes to the clinic because he's had diarrhea for a month. He was treated for pheochromocytoma 2 years ago. His mother currently has a parathyroid gland tumor. He doesn't have other major illnesses and doesn't take any medications. His temperature is 37.0°C (98.6°F), pulse 84/min, breathing rate 10/min, and blood pressure 120/75 mm Hg. Oxygen saturation is 97% on room air. The vital signs are normal. On physical exam, there is a 3-cm mass on the right side of his neck. Biopsy shows a neuroendocrine tumor from parafollicular cells. Which type of gene mutation is most likely the cause?","A 34-year-old man presents for a 1-month history of diarrhea. He was treated for pheochromocytoma 2 years earlier. His mother is being treated for a tumor of the parathyroid gland. He reports no other major medical conditions and does not take medications. His temperature is 37.0°C (98.6°F), heart rate 84 beats/min, respiratory rate 10 breaths/min, and blood pressure 120/75 mm Hg. Oxygen saturation is 97% on room air, indicating normal vital signs. On examination, a 3-cm palpable mass is detected on the right side of the neck, and a biopsy shows a neuroendocrine neoplasm originating from parafollicular cells. Which type of gene mutation is most probably responsible for these symptoms?","A 34-year-old male patient reports a 1-month history of diarrhea. He has a past medical history significant for pheochromocytoma treated 2 years ago. His mother is undergoing treatment for a parathyroid gland tumor. He has no other significant medical history and does not take any routine medications. His temperature is 37.0°C (98.6°F), pulse rate is 84/min, respiratory rate is 10/min, and blood pressure reads 120/75 mm Hg. Oxygen saturation measured via pulse oximetry while on room air is 97%, indicating normal vital signs. Physical examination reveals a palpable 3-cm mass on the right side of the neck. A biopsy of this mass reveals a neuroendocrine neoplasm derived from parafollicular cells. What category of gene mutation is most likely contributing to these clinical findings?",
